"","SuccessLoc1","SuccessIntCon1","SuccessStab1","SuccessIntCon2","SuccessExtCon1","SuccessLoc2","SuccessStab2","SuccessExtCon2","SuccessLoc3","SuccessIntCon3","SuccessStab3","SuccessExtCon3","FailLoc1","FailIntCon1","FailStab1","FailIntCon2","FailExtCon1","FailLoc2","FailStab2","FailExtCon2","FailLoc3","FailIntCon3","FailStab3","FailExtCon3","Success_Locus_Total","Success_Int_Cont_Total","Success_Ext_Cont_Total","Success_Stability_Total","Failure_Locus_Total","Failure_Int_Cont_Total","Failure_Ext_Cont_Total","Failure_Stability_Total","Size_of_Program","Public_vs_Private","Number_of_Ensembles","Years_at_School","Degree_Earned","School_Level","Reported_Gender","Reported_Race","Z_Score_Failure_Locus","Z_Score_Failure_Int_Cont","Z_Score_Failure_Ext_Cont","Z_Score_Failure_Stability","Z_Score_Success_Locus","Z_Score_Success_Int_Cont","Z_Score_Success_Ext_Cont","Z_Score_Success_Stability","Z_Score_Ensembles","Z_Score_Years_at_School"
"24",7,9,7,9,7,7,3,7,4,9,1,7,5,7,1,7,6,4,1,9,3,6,3,6,18,27,21,10,12,20,21,2,"50–100","Public",2,2,"Non-Music Ed","High School","Female","Only Marked ""White""",-0.0037679413895219,0.697180009124461,0.717950017816754,-1.28247010935961,0.632499074262435,1.95533968391886,0.744336243188807,0.0684933922221019,-0.520992770698108,-0.980023139668856
"25",2,6,5,7,5,5,3,6,5,7,4,5,4,5,2,4,2,4,6,7,2,6,3,7,12,20,16,8,10,15,16,8,"Less than 50 students","Public",2,23,"Multiple Reported","Community/2-Yr College","Male","Only Marked ""White""",-0.318391047414604,-0.050118203480064,-0.21728908495546,0.700608670853861,-0.605321379665222,0.179277453537238,-0.346051060429884,-0.463525049689106,-0.520992770698108,1.5696364677634
"26",2,5,8,3,8,3,3,8,3,6,3,8,5,7,2,7,3,5,3,7,5,7,2,5,8,14,24,11,15,21,15,5,"151+","Public",5,12,"Multiple Reported","More Than One Level","Female","Only Marked ""White""",0.4681667176481,0.846639651645366,-0.404336905509903,-0.290930719252875,-1.43053501561699,-1.34306160107558,1.39856862536002,0.334502613177706,1.65415204696649,0.234100482917932
"27",5,8,8,8,5,8,8,5,5,7,2,5,3,1,1,1,5,5,1,9,1,1,9,5,18,23,15,16,9,3,19,2,"50–100","Public",1,7,"Music Education","K-8","Female","Only Marked ""White""",-0.475702600427144,-1.84363391373092,0.343854376707869,-1.28247010935961,0.632499074262435,0.940446980843648,-0.564128521153623,1.66454871795573,-1.24604104325298,-0.372961328375462
"28",7,6,1,3,7,6,6,6,5,7,3,5,5,3,2,6,6,5,2,7,3,6,2,8,18,16,18,7,13,15,21,4,"100–150","Public",5,20,"Multiple Reported","High School","Male","Only Marked ""White""",0.153543611623019,-0.050118203480064,0.717950017816754,-0.621443849288453,0.632499074262435,-0.835615249537975,0.0901038610175923,-0.72953427064471,1.65415204696649,1.20539938098736
"29",5,5,1,6,5,5,3,8,5,6,3,5,5,5,2,5,5,5,3,7,5,7,4,5,15,17,18,4,15,17,17,5,"100–150","Public",4,8,"Non-Music Ed","K-8","Female","Only Marked ""White""",0.4681667176481,0.248801081561746,-0.0302412644010174,-0.290930719252875,0.0135888472986069,-0.581892073769172,0.0901038610175923,-1.52756193351152,0.929103774411627,-0.251548966116783
"30",4,6,3,6,8,6,3,9,3,5,2,7,2,2,1,5,9,3,1,9,2,6,1,8,13,17,24,6,7,13,26,2,"50–100","Private",1,4,"Music Education","More Than One Level","Female","Only Marked ""White""",-0.790325706452226,-0.349037488521874,1.65318912058897,-1.28247010935961,-0.399017970677279,-0.581892073769172,1.39856862536002,-0.995543491600314,-1.24604104325298,-0.737198415151499
"31",5,7,8,7,5,5,3,5,5,7,5,5,2,4,1,3,5,5,2,7,2,5,3,5,15,21,15,11,9,12,17,3,"50–100","Public",3,4,"Music Education","More Than One Level","Female","Only Marked ""White""",-0.475702600427144,-0.498497131042779,-0.0302412644010174,-0.951956979324031,0.0135888472986069,0.433000629306041,-0.564128521153623,0.334502613177706,0.204055501856759,-0.737198415151499
"32",3,7,2,5,5,5,1,8,3,7,4,6,3,1,1,3,4,7,5,6,2,5,8,5,11,19,19,3,12,9,15,6,"Less than 50 students","Public",2,13,"Multiple Reported","High School","Male","Only Marked ""White""",-0.0037679413895219,-0.946876058605494,-0.404336905509903,0.0395824107827039,-0.811624788653165,-0.0744457222315651,0.308181321741331,-1.79357115446713,-0.520992770698108,0.35551284517661
"33",5,6,4,5,6,8,2,7,2,6,3,5,7,9,6,7,6,3,2,7,3,5,2,8,15,17,18,6,13,21,21,8,"50–100","Public",5,22,"Music Education","High School","Male","Only Marked ""White""",0.153543611623019,0.846639651645366,0.717950017816754,0.700608670853861,0.0135888472986069,-0.581892073769172,0.0901038610175923,-0.995543491600314,1.65415204696649,1.44822410550472
"34",7,8,9,9,8,6,7,5,6,9,3,2,1,3,1,2,1,3,2,3,1,4,4,2,19,26,15,16,5,9,6,3,"Less than 50 students","Public",1,9,"Music Education","High School","Male","Only Marked ""White""",-1.10494881247731,-0.946876058605494,-2.08776729049989,-0.951956979324031,0.838802483250378,1.70161650815006,-0.564128521153623,1.66454871795573,-1.24604104325298,-0.130136603858105
"35",6,7,7,7,7,3,7,7,5,7,3,7,9,9,6,9,3,8,2,7,8,9,2,7,14,21,21,14,25,27,17,8,"Less than 50 students","Public",2,2,"Non-Music Ed","High School","Male","Marked at Least One Non-White",2.04128224777351,1.7433975067708,-0.0302412644010174,0.700608670853861,-0.192714561689336,0.433000629306041,0.744336243188807,1.13253027604452,-0.520992770698108,-0.980023139668856
"36",7,9,1,8,4,8,8,7,7,9,3,7,2,1,5,3,7,1,5,9,1,5,1,7,22,26,18,9,4,9,23,10,"Less than 50 students","Public",3,1.5,"Music Education","High School","Female","Only Marked ""White""",-1.26226036548985,-0.946876058605494,1.09204565892564,1.36163493092502,1.45771271021421,1.70161650815006,0.0901038610175923,-0.197515828733502,0.204055501856759,-1.0407293207982
"37",3,6,5,6,4,5,5,5,5,8,5,5,5,5,2,2,5,5,1,5,1,3,1,9,13,20,14,10,11,10,19,3,"Less than 50 students","Public",1,14,"Non-Music Ed","Community/2-Yr College","Male","Only Marked ""White""",-0.161079494402063,-0.797416416084589,0.343854376707869,-0.951956979324031,-0.399017970677279,0.179277453537238,-0.782205981877361,0.0684933922221019,-1.24604104325298,0.476925207435289
"38",2,6,6,5,9,6,3,9,2,6,6,5,3,5,3,4,9,5,2,9,3,4,2,2,10,17,23,9,11,13,20,5,"Less than 50 students","Public",2,16,"Music Education","High School","Male","Only Marked ""White""",-0.161079494402063,-0.349037488521874,0.530902197262312,-0.290930719252875,-1.01792819764111,-0.581892073769172,1.18049116463628,-0.197515828733502,-0.520992770698108,0.719749931952647
"39",5,6,8,7,3,9,7,7,7,8,7,5,9,8,5,6,7,5,5,7,5,6,3,5,21,21,15,15,19,20,19,10,"Less than 50 students","Public",3,1,"Music Education","More Than One Level","Female","Only Marked ""White""",1.09741292969826,0.697180009124461,0.343854376707869,1.36163493092502,1.25140930122626,0.433000629306041,-0.564128521153623,1.39853949700012,0.204055501856759,-1.10143550192753
"40",5,4,1,9,6,9,7,6,9,7,6,3,8,8,1,8,5,9,6,5,7,7,4,5,23,20,15,8,24,23,15,7,"Less than 50 students","Public",4,5,"Music Education","High School","Male","Only Marked ""White""",1.88397069476097,1.14555893668718,-0.404336905509903,0.370095540818282,1.66401611920215,0.179277453537238,-0.564128521153623,-0.463525049689106,0.929103774411627,-0.61578605289282
"41",1,5,4,4,6,4,3,9,4,6,1,9,1,1,1,1,9,1,1,9,1,5,1,9,9,15,24,7,3,7,27,2,"151+","Public",1,19,"Music Education","High School","Female","Only Marked ""White""",-1.41957191850239,-1.2457953436473,1.84023694114341,-1.28247010935961,-1.22423160662905,-1.08933842530678,1.39856862536002,-0.72953427064471,-1.24604104325298,1.08398701872868
"42",1,7,4,8,5,5,3,4,4,8,4,5,8,8,3,8,6,5,4,6,6,7,5,5,10,23,14,7,19,23,17,7,"50–100","Public",3,6,"Multiple Reported","High School","Male","Marked at Least One Non-White",1.09741292969826,1.14555893668718,-0.0302412644010174,0.370095540818282,-1.01792819764111,0.940446980843648,-0.782205981877361,-0.72953427064471,0.204055501856759,-0.494373690634141
"43",3,7,6,8,7,7,7,7,3,8,1,8,8,9,1,9,3,9,1,3,9,9,1,5,13,23,22,13,26,27,11,2,"Less than 50 students","Public",1,8,"Music Education","More Than One Level","Female","Only Marked ""White""",2.19859380078605,1.7433975067708,-1.15252818772768,-1.28247010935961,-0.399017970677279,0.940446980843648,0.962413703912546,0.866521055088914,-1.24604104325298,-0.251548966116783
"44",5,7,2,6,2,9,5,7,1,9,3,3,3,2,2,8,3,7,2,9,2,9,2,7,15,22,12,7,12,19,19,4,"50–100","Public",4,1.5,"Music Education","High School","Female","Only Marked ""White""",-0.0037679413895219,0.547720366603556,0.343854376707869,-0.621443849288453,0.0135888472986069,0.686723805074844,-1.21836090332484,-0.72953427064471,0.929103774411627,-1.0407293207982
"45",5,5,4,6,8,5,3,7,1,8,1,9,5,1,5,4,7,5,3,9,1,6,4,3,11,19,24,7,11,11,19,8,"50–100","Public",1,11,"Music Education","High School","Male","Only Marked ""White""",-0.161079494402063,-0.647956773563684,0.343854376707869,0.700608670853861,-0.811624788653165,-0.0744457222315651,1.39856862536002,-0.72953427064471,-1.24604104325298,0.112688120659253
"46",6,7,4,7,7,7,8,5,7,8,4,7,6,6,3,6,3,5,8,4,6,8,2,2,20,22,19,12,17,20,9,11,"Less than 50 students","Public",1,1,"Music Education","High School","","Only Marked ""White""",0.782789823673182,0.697180009124461,-1.52662382883656,1.6921480609606,1.04510589223832,0.686723805074844,0.308181321741331,0.60051183413331,-1.24604104325298,-1.10143550192753
"47",8,9,9,9,3,9,7,3,8,9,2,2,1,1,1,1,7,2,2,9,1,2,5,5,25,27,8,16,4,4,21,3,"151+","Public",3,24,"Non-Music Ed","K-8","Male","Only Marked ""White""",-1.26226036548985,-1.69417427121002,0.717950017816754,-0.951956979324031,2.07662293717804,1.95533968391886,-2.09067074621979,1.66454871795573,0.204055501856759,1.69104883002208
"48",5,6,5,7,2,7,5,2,7,7,3,4,4,6,2,7,8,2,2,7,3,7,2,3,19,20,8,10,9,20,18,4,"50–100","Public",3,4,"Music Education","K-8","Male","",-0.475702600427144,0.697180009124461,0.156806556153426,-0.621443849288453,0.838802483250378,0.179277453537238,-2.09067074621979,0.0684933922221019,0.204055501856759,-0.737198415151499
"49",8,5,2,7,8,2,2,8,4,8,2,8,2,2,2,5,7,2,5,8,2,8,2,8,14,20,24,4,6,15,23,7,"Less than 50 students","Public",1,2,"Non-Music Ed","K-8","Female","Only Marked ""White""",-0.947637259464767,-0.050118203480064,1.09204565892564,0.370095540818282,-0.192714561689336,0.179277453537238,1.39856862536002,-1.52756193351152,-1.24604104325298,-0.980023139668856
"50",2,8,6,7,6,4,3,7,1,8,3,6,8,8,2,7,6,2,4,8,5,7,2,6,7,23,19,9,15,22,20,6,"Less than 50 students","Private",1,1,"Multiple Reported","K-8","Female","Only Marked ""White""",0.4681667176481,0.996099294166271,0.530902197262312,0.0395824107827039,-1.63683842460494,0.940446980843648,0.308181321741331,-0.197515828733502,-1.24604104325298,-1.10143550192753
"51",9,7,8,6,3,3,8,3,6,8,7,3,9,8,1,7,3,7,2,2,9,9,2,1,18,21,9,16,25,24,6,3,"Less than 50 students","Private",3,12,"Non-Music Ed","K-8","Female","Only Marked ""White""",2.04128224777351,1.29501857920808,-2.08776729049989,-0.951956979324031,0.632499074262435,0.433000629306041,-1.87259328549605,1.66454871795573,0.204055501856759,0.234100482917932
"52",1,6,6,5,3,5,9,8,6,6,6,6,1,1,7,1,8,5,3,8,2,2,3,7,12,17,17,15,8,4,23,10,"50–100","Public",3,16,"Non-Music Ed","High School","Female","Only Marked ""White""",-0.633014153439685,-1.69417427121002,1.09204565892564,1.36163493092502,-0.605321379665222,-0.581892073769172,-0.127973599706146,1.39853949700012,0.204055501856759,0.719749931952647
"53",3,5,3,3,7,3,5,8,2,7,3,8,1,3,6,2,9,1,5,9,3,6,1,9,8,15,23,8,5,11,27,11,"50–100","Private",3,6,"Multiple Reported","University/4-Yr","Male","Only Marked ""White""",-1.10494881247731,-0.647956773563684,1.84023694114341,1.6921480609606,-1.43053501561699,-1.08933842530678,1.18049116463628,-0.463525049689106,0.204055501856759,-0.494373690634141
"54",6,7,3,7,7,3,3,9,6,9,2,7,8,7,3,6,8,6,3,9,5,9,2,6,15,23,23,6,19,22,23,6,"151+","Public",3,10,"Music Education","K-8","Male","Only Marked ""White""",1.09741292969826,0.996099294166271,1.09204565892564,0.0395824107827039,0.0135888472986069,0.940446980843648,1.18049116463628,-0.995543491600314,0.204055501856759,-0.00872424159942593
"55",9,9,5,6,7,8,8,8,5,8,2,8,2,2,2,2,5,3,3,5,2,2,5,3,22,23,23,13,7,6,13,5,"50–100","Public",3,5,"Music Education","High School","Female","Only Marked ""White""",-0.790325706452226,-1.39525498616821,-0.778432546618789,-0.290930719252875,1.45771271021421,0.940446980843648,1.18049116463628,0.866521055088914,0.204055501856759,-0.61578605289282
